id	osztalyid	nev	ferfi
900	76	Fillár István	-1
901	90	Csomós Mari	0
902	44	Andresz Kati	0
903	41	Leviczky Klára	0
904	34	Méhes László	-1
905	21	Bertók Lajos	-1
906	2	Varju Kálmán	-1
907	87	Dóczy Péter	-1
908	76	Harmath Irma	0
909	63	Dőry Virág	0
910	51	Koricza Miklós	-1
911	75	Labancz Borbála	0
912	82	Somogyvári Pál	-1
913	43	Tóth Éva	0
914	53	Jani Ildikó	0
915	16	Tímár Andor	-1
916	19	Bajomi Nagy György	-1
917	85	Samu Nagy Ádám	-1
918	84	Farkas Dénes	-1
919	4	Ötvös András	-1
920	9	Szandtner Zsófia	0
921	50	Velez Olívia	0
922	79	Kohut Magda	0
923	79	Bagó László	-1
924	54	Muszte Anna	0
925	11	Sarádi Zsolt	-1
926	76	Szigeti Géza	-1
927	92	Zoltán Áron	-1
928	25	Jantyik Csaba	-1
929	79	Tándor Lajos	-1
930	88	Rosta Sándor	-1
931	51	Horváth István	-1
932	12	Németh Kristóf	-1
933	64	Parragi Mária	0
934	57	Paudits Béla	-1
935	41	Görög László	-1
936	26	Nagy-Kálózy Eszter	0
937	77	Horváth Teri	0
938	37	Molnár Ildikó	0
939	48	Nagy Sándor	-1
940	91	Tóth Judit	0
941	87	Moravetz Levente	-1
942	27	Ternyák Zoltán	-1
943	84	Szatory Dávid	-1
944	73	Fekete András	-1
945	64	Osztovics Cecília	0
946	19	Tóth Sándor	-1
947	59	Vallai Péter	-1
948	50	Menszátor Magdolna	0
949	1	Mercs János	-1
950	76	Bitskey Tibor	-1
951	29	Németh Gábor	-1
952	10	Dobó Dániel	-1
953	49	Gálffi László	-1
954	32	Juhász György	-1
955	35	Nyertes Zsuzsa	0
956	53	Holocsy István	-1
957	79	Kéry Edit	0
958	94	Simon Zoltán	-1
959	46	Bajza Viktória	0
960	2	Széll Attila	-1
961	10	Betz István	-1
962	42	Tomanek Gábor	-1
963	27	Lipics Zsolt	-1
964	75	Kovács Ibolya	0
965	47	Cseke Péter	-1
966	27	Sztarenki Pál	-1
967	42	Józsa Imre	-1
968	64	Kardos Gábor	-1
969	13	Németh Borbála	0
970	49	Pogány György	-1
971	28	Kaszás Géza	-1
972	11	Nagy Ervin	-1
973	77	Berek Katalin	0
974	35	Simon Mária	0
975	14	Kocsis Pál	-1
976	32	Mihály Marianna	0
977	51	Ferenczi Krisztina	0
978	65	Halász Judit	0
979	63	Tahi Tóth László	-1
980	45	Németh Nóra	0
981	18	Ilyés Barna László	-1
982	69	Szilágyi István	-1
983	58	Blaskó Péter	-1
984	75	Gelley Kornél	-1
985	12	Botos Éva	0
986	89	Fodor Zsóka	0
987	49	Halmágyi Sándor	-1
988	73	Kutas József	-1
989	85	Kecskés Karina	0
990	16	Kiss Eszter	0
991	29	Zubornyák Zoltán	-1
992	7	Máthé Zsolt	-1
993	78	Csisztay Andor	-1
994	26	Dimanopulu Afrodité	0
995	38	Bubik István	-1
996	73	Füzessy Ertzsébet	0
997	84	Mohai Tamás Gábor	-1
998	58	Lencz György	-1
999	46	Safranek Károly	-1
1000	40	Tihanyi Péter	-1
1001	89	Ernyey Béla	-1
1002	2	Zeck Julianna	0
1003	83	Horkay János	-1
1004	50	Gyabronka József	-1
1005	30	Kiss József	-1
1006	57	Oszter Sándor	-1
1007	55	Andai Györgyi	0
1008	29	Molnár Erika	0
1009	14	Mészáros Tamás	-1
1010	41	Bán János	-1
1011	44	Szirmai Péter	-1
1012	70	Szekeres Ilona	0
1013	54	Sir Katalin	0
1014	64	Kertész Péter	-1
1015	13	Majsai-Nyilas Tünde	0
1016	78	Hegedűs Ágnes	0
1017	25	Szarvas József	-1
1018	28	Tallós Rita	0
1019	62	Liska Zsuzsa	0
1020	34	Rátóti Zoltán	-1
1021	31	Magyar Tivadar	-1
1022	87	Sebestyén András	-1
1023	63	Csernák Árpád	-1
1024	1	Nagy Péter	-1
1025	67	Kézdy György	-1
1026	24	Hankó Attila	-1
1027	31	Kocsis Judit	0
1028	12	Vass György	-1
1029	16	Molnár László	-1
1030	73	Sturcz (Sós) Edit	0
1031	56	Hámori Ildikó	0
1032	40	Bognár Zsolt	-1
1033	59	Gór Nagy Mária	0
1034	36	Karczag Ferenc	-1
1035	8	Balázs Zoltán	-1
1036	13	Cseke Katinka	0
1037	24	Görög László	-1
1038	74	Tóth Béla	-1
1039	53	Sáfár Anikó	0
1040	94	Borbély Alexandra	0
1041	44	Pobozsnyi Ágnes	0
1042	43	Kovács Nóra	0
1043	42	Hernádi Judit	0
1044	91	Huszár László	-1
1045	80	Békés Rita	0
1046	77	Bagyinszky János	-1
1047	47	Kerekes Valéria	0
1048	54	Timár Béla	-1
1049	77	Bán Klára	0
1050	29	Kocsó Gábor	-1
1051	80	Csornay Mária	0
1052	14	Crespo Rodrigo	-1
1053	94	Tasnádi Bence	-1
1054	17	Takátsy Péter	-1
1055	20	Ilyés Róbert	-1
1056	35	Nagy Miklós	-1
1057	76	Horcsák Flóra	0
1058	12	Szabó Viktória	0
1059	67	ifj. Latabár Kálmán	-1
1060	22	Kautzky Armand	-1
1061	32	Varjú Olga	0
1062	24	Hullán Zsuzsanna	0
1063	41	Pataki Erzsébet	0
1064	78	Márkus László	-1
1065	24	Földesi Judit	0
1066	36	Fráter Katalin	0
1067	23	Vincze Gábor Péter	-1
1068	40	Tóth Enikő	0
1069	1	Barnák László	-1
1070	41	Pap Vera	0
1071	3	Tenki Réka	0
1072	82	Garay József	-1
1073	76	Árkos Gyula	-1
1074	92	Mészáros Blanka	0
1075	74	Schubert Éva	0
1076	83	Lukács Éva	0
1077	47	Katona Ágnes	0
1078	81	Szentirmay Éva	0
1079	85	Almási Sándor	-1
1080	36	Fésüs Tamás	-1
1081	75	Bíró József	-1
1082	6	Bartsch Katalin	0
1083	44	Spindler Béla	-1
1084	39	Nemcsák Károly	-1
1085	42	Homoki Magdolna	0
1086	17	Selmeczi Roland	-1
1087	48	Andorai Péter	-1
1088	31	Mertz Tibor	-1
1089	71	Böröndy Katalin	0
1090	83	Felvinczy Győző	-1
